fk_codigo_Filial,CodigoTransacao,DataTransacao
1,291045,11/10/2022
1,196308,22/02/2022
1,306014,17/11/2022
1,277975,09/09/2022
1,155203,25/10/2021
1,181007,09/01/2022
1,231858,19/05/2022
1,311938,25/11/2022
1,147778,07/10/2021
1,309168,22/11/2022
1,308772,22/11/2022
1,183557,17/01/2022
1,332401,15/01/2023
1,268106,16/08/2022
1,272574,26/08/2022
1,201251,08/03/2022
1,317873,08/12/2022
1,255065,14/07/2022
1,248253,28/06/2022
1,314218,30/11/2022
1,314614,30/11/2022
1,192831,10/02/2022
1,192435,10/02/2022
1,144842,27/09/2021
1,213501,06/04/2022
1,155495,25/10/2021
1,221427,26/04/2022
1,254500,13/07/2022
1,232150,19/05/2022
1,312230,25/11/2022
1,339922,01/02/2023
1,273158,29/08/2022
1,252893,10/07/2022
1,268398,16/08/2022
1,234783,25/05/2022
1,182663,12/01/2022
1,324848,23/12/2022
1,235847,27/05/2022
1,310499,23/11/2022
1,318165,08/12/2022
1,248545,28/06/2022
1,297898,28/10/2022
1,254961,14/07/2022
1,204984,16/03/2022
1,221719,26/04/2022
1,341881,07/02/2023
1,218833,21/04/2022
1,294303,19/10/2022
1,323016,20/12/2022
1,235075,25/05/2022
1,235446,26/05/2022
1,325466,26/12/2022
1,296039,24/10/2022
1,149051,11/10/2021
1,193701,13/02/2022
1,286338,28/09/2022
1,313534,28/11/2022
1,300431,04/11/2022
1,176773,27/12/2021
1,216374,14/04/2022
1,212104,01/04/2022
1,167768,30/11/2021
1,186481,24/01/2022
1,254828,13/07/2022
1,247347,25/06/2022
1,272124,25/08/2022
1,202191,10/03/2022
1,256551,19/07/2022
1,182595,12/01/2022
1,290088,08/10/2022
1,325886,27/12/2022
1,204916,16/03/2022
1,332082,13/01/2023
1,177065,27/12/2021
1,265376,09/08/2022
1,239816,07/06/2022
1,295426,22/10/2022
1,239420,07/06/2022
1,170271,08/12/2021
1,326178,27/12/2022
1,146891,05/10/2021
1,285836,27/09/2022
1,285440,27/09/2022
1,164152,23/11/2021
1,143412,21/09/2021
1,190280,03/02/2022
1,209773,26/03/2022
1,259088,22/07/2022
1,237528,02/06/2022
1,152952,20/10/2021
1,185771,22/01/2022
1,238705,06/06/2022
1,343079,09/02/2023
1,212036,01/04/2022
1,142887,18/09/2021
1,173488,15/12/2021
1,320426,13/12/2022
1,245805,21/06/2022
1,237820,02/06/2022
1,180942,08/01/2022
1,260731,27/07/2022
1,343371,09/02/2023
1,194544,15/02/2022
1,239352,07/06/2022
1,174188,17/12/2021
1,146823,05/10/2021
1,285372,27/09/2022
1,143344,21/09/2021
1,197187,23/02/2022
1,258231,21/07/2022
1,259020,22/07/2022
1,254031,12/07/2022
1,255648,16/07/2022
1,187219,26/01/2022
1,207677,22/03/2022
1,314207,29/11/2022
1,320358,13/12/2022
1,205971,18/03/2022
1,239644,07/06/2022
1,147115,05/10/2021
1,165023,24/11/2021
1,143240,21/09/2021
1,245737,21/06/2022
1,208137,23/03/2022
1,267785,15/08/2022
1,347265,19/02/2023
1,198311,28/02/2022
1,274763,01/09/2022
1,203228,14/03/2022
1,203624,14/03/2022
1,342814,08/02/2023
1,238929,06/06/2022
1,314103,29/11/2022
1,295273,21/10/2022
1,320254,13/12/2022
1,173316,15/12/2021
1,174573,19/12/2021
1,201548,09/03/2022
1,250952,05/07/2022
1,165315,24/11/2021
1,141276,14/09/2021
1,164919,24/11/2021
1,208429,23/03/2022
1,299388,02/11/2022
1,252920,11/07/2022
1,346992,17/02/2023
1,240323,08/06/2022
1,223483,30/04/2022
1,243449,16/06/2022
1,202265,11/03/2022
1,330632,10/01/2023
1,246725,23/06/2022
1,345303,13/02/2023
1,344907,13/02/2023
1,191002,07/02/2022
1,260238,26/07/2022
1,328079,03/01/2023
1,162804,18/11/2021
1,253963,12/07/2022
1,268786,17/08/2022
1,187151,26/01/2022
1,187547,26/01/2022
1,291589,12/10/2022
1,329209,05/01/2023
1,307021,21/11/2022
1,306625,21/11/2022
1,253567,12/07/2022
1,233219,21/05/2022
1,229837,13/05/2022
1,157611,01/11/2021
1,208718,24/03/2022
1,156273,26/10/2021
1,280166,13/09/2022
1,156792,28/10/2021
1,233859,23/05/2022
1,269317,18/08/2022
1,197015,23/02/2022
1,301553,08/11/2022
1,295492,23/10/2022
1,145780,29/09/2021
1,198243,28/02/2022
1,215104,11/04/2022
1,289245,06/10/2022
1,148191,09/10/2021
1,148587,09/10/2021
1,307313,21/11/2022
1,306917,21/11/2022
1,317451,07/12/2022
1,303540,13/11/2022
1,210258,28/03/2022
1,336355,24/01/2023
1,157084,28/10/2021
1,227845,11/05/2022
1,164851,24/11/2021
1,165247,24/11/2021
1,275499,05/09/2022
1,243381,16/06/2022
1,214196,08/04/2022
1,330564,10/01/2023
1,242581,15/06/2022
